created_at,temperature,humidity,motion,gas,alarm,is_night,motion_duration_sec,class,reason
2026-06-21T01:19:07.920645,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:09.927656,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:11.933360,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:13.938077,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:17.949516,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:17.950875,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:19.955413,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:21.962735,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:23.969425,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:25.975100,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:27.979317,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:29.987121,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:33.997629,31.7,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:33.998722,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:36.002949,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:38.009102,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:40.014423,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:42.021304,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:46.032985,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:46.034013,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:48.039777,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:50.044791,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:52.051379,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:54.057591,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:58.069268,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:19:58.070248,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:00.076020,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:04.085844,31.0,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:04.087820,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:06.093159,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:08.098198,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:10.103628,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:12.110089,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:14.116742,31.6,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:16.123244,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:18.130317,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:22.140974,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:22.142004,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:24.146204,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:26.152723,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:28.158825,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:30.164467,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:34.176430,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:34.177441,31.9,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:36.182538,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:38.188913,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:40.194226,31.2,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:42.200916,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:44.207158,31.5,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:48.219631,31.1,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:48.220644,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:50.224168,31.3,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:52.229543,31.8,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:54.235468,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:56.241046,31.4,57.0,0,0,0,1,0,1,warm
2026-06-21T01:20:58.247389,31.2,57.0,0,0,0,1,0,1,warm
